Date,Daily_Demand,Forecast,Error,Absolute_Error,Percentage_Error
2025-09-27,47398,44876.34535573746,2521.6546442625404,2521.6546442625404,5.320170986671464
2025-09-28,40492,44876.339561917484,-4384.339561917484,4384.339561917484,10.827668581244405
2025-09-29,43399,44876.349603000075,-1477.3496030000751,1477.3496030000751,3.4041097790273396
2025-09-30,45380,44876.3722207949,503.6277792050969,503.6277792050969,1.1098011881998608
2025-10-01,50333,44876.40413234103,5456.595867658973,5456.595867658973,10.840990737009463
2025-10-02,40065,44876.44215694885,-4811.442156948848,4811.442156948848,12.009090620114433
2025-10-03,44883,44876.48342346852,6.516576531481405,6.516576531481405,0.014519030660787836
2025-10-04,43483,44876.52527325384,-1393.525273253843,1393.525273253843,3.204758809773573
2025-10-05,44690,44876.56551088051,-186.56551088050765,186.56551088050765,0.4174659003815342
2025-10-06,52675,44876.60235648193,7798.397643518067,7798.397643518067,14.804741610855372
2025-10-07,41025,44876.63444065768,-3851.6344406576827,3851.6344406576827,9.388505644503798
2025-10-08,43349,44876.660842566045,-1527.6608425660452,1527.6608425660452,3.524097078516333
2025-10-09,41461,44876.68091195531,-3415.6809119553072,3415.6809119553072,8.238298429741944
2025-10-10,44015,44876.694309480845,-861.6943094808448,861.6943094808448,1.9577287503824714
2025-10-11,41691,44876.70113009561,-3185.7011300956074,3185.7011300956074,7.641220239609526
2025-10-12,45219,44876.7016950341,342.2983049659015,342.2983049659015,0.7569789357701442
2025-10-13,43956,44876.69649561518,-920.6964956151787,920.6964956151787,2.0945866221111538
2025-10-14,46255,44876.686249973915,1378.3137500260855,1378.3137500260855,2.9798156956568707
2025-10-15,49632,44876.671942745634,4755.328057254366,4755.328057254366,9.581173551850352
2025-10-16,48786,44876.65468655422,3909.3453134457814,3909.3453134457814,8.013252395043212
2025-10-17,50055,44876.63566462809,5178.364335371909,5178.364335371909,10.345348787078033
2025-10-18,43092,44876.61622076807,-1784.6162207680682,1784.6162207680682,4.1414095905691735
2025-10-19,55882,44876.5978229744,11005.4021770256,11005.4021770256,19.694001963110843
2025-10-20,38558,44876.58174853121,-6318.581748531207,6318.581748531207,16.38721341493648
2025-10-21,48548,44876.568866843874,3671.4311331561257,3671.4311331561257,7.562476586380748
2025-10-22,44195,44876.55975920009,-681.5597592000922,681.5597592000922,1.5421648584683612
2025-10-23,38715,44876.55468283025,-6161.554682830247,6161.554682830247,15.91516126263786
2025-10-24,45578,44876.55348618997,701.4465138100277,701.4465138100277,1.53900239986403
2025-10-25,45248,44876.555605976166,371.4443940238343,371.4443940238343,0.8209078722238204
2025-10-26,46801,44876.56021282704,1924.4397871729598,1924.4397871729598,4.1119629648361355
2025-10-27,48264,44876.56654567575,3387.433454324251,3387.433454324251,7.018550999345788
2025-10-28,53019,44876.57391867369,8142.42608132631,8142.42608132631,15.357562536687434
2025-10-29,47026,44876.581730565566,2149.4182694344345,2149.4182694344345,4.570701887114435
2025-10-30,51632,44876.589468151076,6755.410531848924,6755.410531848924,13.083766911699959
2025-10-31,47924,44876.596709729616,3047.403290270384,3047.403290270384,6.358824994304281
2025-11-01,47463,44876.603128975905,2586.396871024095,2586.396871024095,5.449290754954586
2025-11-02,48900,44876.60849471014,4023.391505289859,4023.391505289859,8.227794489345316
2025-11-03,47535,44876.61266375153,2658.3873362484665,2658.3873362484665,5.592484140629991
2025-11-04,43550,44876.61557676811,-1326.615576768112,1326.615576768112,3.0461896137040463
2025-11-05,41514,44876.61724563104,-3362.617245631038,3362.617245631038,8.099959641641465
2025-11-06,45213,44876.617741936,336.38225806399714,336.38225806399714,0.7439945548050276
2025-11-07,43365,44876.61718531195,-1511.6171853119522,1511.6171853119522,3.485800035309471
2025-11-08,45045,44876.61573007014,168.38426992986206,168.38426992986206,0.3738134530577468
2025-11-09,36955,44876.61355734062,-7921.613557340621,7921.613557340621,21.435836983738657
2025-11-10,44346,44876.610865602626,-530.6108656026263,530.6108656026263,1.1965247499269975
2025-11-11,46140,44876.60785678619,1263.3921432138086,1263.3921432138086,2.738171094958406
2025-11-12,35366,44876.6047288446,-9510.604728844599,9510.604728844599,26.89194347351863
2025-11-13,45697,44876.601669952244,820.3983300477557,820.3983300477557,1.7953001948656493
2025-11-14,47117,44876.5988506182,2240.4011493818034,2240.4011493818034,4.754974105698163
2025-11-15,43689,44876.596414213935,-1187.5964142139346,1187.5964142139346,2.718296171150483
2025-11-16,46609,44876.59447180261,1732.4055281973924,1732.4055281973924,3.7168905752052015
2025-11-17,52265,44876.59309870842,7388.406901291579,7388.406901291579,14.136433370882195
2025-11-18,44330,44876.5923279731,-546.5923279730996,546.5923279730996,1.233007732851567
2025-11-19,39399,44876.5921448064,-5477.592144806396,5477.592144806396,13.90287099877255
2025-11-20,44747,44876.59249134889,-129.5924913488925,129.5924913488925,0.2896115747399658
2025-11-21,40181,44876.593278832406,-4695.593278832406,4695.593278832406,11.686103578388806
2025-11-22,41552,44876.59439615348,-3324.5943961534795,3324.5943961534795,8.001045427785616
2025-11-23,38164,44876.59571993093,-6712.595719930927,6712.595719930927,17.58881595202528
2025-11-24,43373,44876.59712772228,-1503.597127722278,1503.597127722278,3.4666661926135567
2025-11-25,46210,44876.598511780496,1333.4014882195042,1333.4014882195042,2.8855258347100285
2025-11-26,46483,44876.599788412284,1606.4002115877156,1606.4002115877156,3.4558875537028926
2025-11-27,43877,44876.60089650349,-999.6008965034925,999.6008965034925,2.2781887925416333
2025-11-28,46769,44876.60179576449,1892.3982042355128,1892.3982042355128,4.046266125500893
2025-11-29,44999,44876.602464604446,122.39753539555386,122.39753539555386,0.27200056755828766
2025-11-30,47057,44876.60289781955,2180.3971021804464,2180.3971021804464,4.6335233911648555
2025-12-01,50918,44876.60310408922,6041.396895910781,6041.396895910781,11.864953250148828
2025-12-02,47645,44876.603103259666,2768.3968967403343,2768.3968967403343,5.810466778760278
2025-12-03,42359,44876.60292354463,-2517.602923544633,2517.602923544633,5.943489986885037
2025-12-04,45149,44876.60259887108,272.3974011289174,272.3974011289174,0.6033298658418069
2025-12-05,52032,44876.60216627451,7155.397833725488,7155.397833725488,13.751917730868483
2025-12-06,43490,44876.6016636293,-1386.6016636292989,1386.6016636292989,3.1883229791430185
2025-12-07,48207,44876.60112768573,3330.3988723142684,3330.3988723142684,6.908537914232929
2025-12-08,43889,44876.60059243153,-987.6005924315323,987.6005924315323,2.250223501176906
2025-12-09,41966,44876.60008784359,-2910.600087843588,2910.600087843588,6.935614754428794
2025-12-10,52026,44876.59963886035,7149.400361139647,7149.400361139647,13.741975860415268
2025-12-11,47848,44876.59926463561,2971.40073536439,2971.40073536439,6.210083462975234
2025-12-12,39733,44876.59897823059,-5143.5989782305915,5143.5989782305915,12.945408044271995
2025-12-13,53474,44876.59878654346,8597.401213456542,8597.401213456542,16.077722282710365
2025-12-14,46176,44876.598690429826,1299.401309570174,1299.401309570174,2.8140187750566827
2025-12-15,42936,44876.59868509021,-1940.5986850902118,1940.5986850902118,4.519747263578842
2025-12-16,40674,44876.59876078609,-4202.598760786088,4202.598760786088,10.332396028878616
2025-12-17,52793,44876.598903752194,7916.401096247806,7916.401096247806,14.99517189068211
2025-12-18,47985,44876.59909725365,3108.400902746347,3108.400902746347,6.477859545162754
2025-12-19,46847,44876.59932289634,1970.4006771036584,1970.4006771036584,4.206033848706765
2025-12-20,50230,44876.59956216602,5353.400437833981,5353.400437833981,10.657775110161221
2025-12-21,48916,44876.59979785992,4039.400202140081,4039.400202140081,8.257830162196585
2025-12-22,49455,44876.60001516084,4578.399984839161,4578.399984839161,9.25770899775384
2025-12-23,39758,44876.60020246109,-5118.600202461093,5118.600202461093,12.874390569095763
2025-12-24,49775,44876.600351878755,4898.399648121245,4898.399648121245,9.841084175030126
2025-12-25,49300,44876.60045935064,4423.399540649363,4423.399540649363,8.972412861357734
2025-12-26,46305,44876.60052426964,1428.399475730359,1428.399475730359,3.084762932146332
2025-12-27,50475,44876.600548798226,5598.399451201774,5598.399451201774,11.091430314416591
2025-12-28,43791,44876.60053720804,-1085.60053720804,1085.60053720804,2.4790494330068733
2025-12-29,50181,44876.60049525616,5304.399504743837,5304.399504743837,10.570533677574852
2025-12-30,45196,44876.60042961123,319.39957038877037,319.39957038877037,0.7066987573873138
